id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,,,,,,,,,,,,,,,,,,,,,,,
348158,CN-0188,medium_airport,Beijing Nanjiao Airport,39.48595,116.37236,,AS,China,CN,Beijing Municipality,CN-11,11,Beijing,0,ZBNY,NAY,,,,,,,,,,,,,,,,,,,,,,,
44263,CN-0185,medium_airport,Changchun Air Base,43.9053,125.197998,,AS,China,CN,Jilin Province,CN-22,22,Changchun,0,,,,,,,,,,,,,,,,,,,,,,,,,
44102,CN-0026,medium_airport,Chengdu Huangtianba Air Base,30.705299,103.949997,,AS,China,CN,Sichuan Province,CN-51,51,Chengdu (Qingyang),0,,,,,,,,,,,,,,,,,,,,,,,,,
44203,CN-0125,medium_airport,Lintao Air Base,35.3083,103.835999,,AS,China,CN,Gansu Province,CN-62,62,Dingxi (Lintao),0,,,,,,,,,,,,,,,,,,,,,,,,,
44195,CN-0117,medium_airport,Gonghe Air Base,36.3367,100.480003,,AS,China,CN,Qinghai Province,CN-63,63,Hainan (Gonghe),0,,,,,,,,,,,,,,,,,,,,,,,,,
44276,CN-0198,medium_airport,Lalin Air Base,45.259457,126.893536,,AS,China,CN,Heilongjiang Province,CN-23,23,Harbin,0,,,,,,,,,,,,,,,,,,,,,,,,,
312371,AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224,11600,AS,China,CN,Sichuan Province,CN-51,51,Ngawa (Hongyuan),0,ZUHY,AHJ,,,,,,,,,,,,,,,,,,,,,,,
44243,CN-0165,medium_airport,Ningbo Zhuangqiao Air Base,29.9228,121.573997,,AS,China,CN,Zhejiang Province,CN-33,33,Ningbo,0,,,,,,,,,,,,,,,,,,,,,,,,,
44247,CN-0169,medium_airport,Shanghai Dachang Air Base,31.324438,121.409508,,AS,China,CN,Shanghai Municipality,CN-31,31,Shanghai (Baoshan),0,,,,,,,,,,,,,,,,,,,,,,,,,
44286,CN-0208,medium_airport,Siping Air Base,43.156898,124.292,,AS,China,CN,Jilin Province,CN-22,22,Siping,0,,,,,,,,,,,,,,,,,,,,,,,,,
43972,CN-0003,medium_airport,Laohutun Air Base,39.669998,121.765999,,AS,China,CN,Liaoning Province,CN-21,21,"Wafangdian, Dalian",0,,,,,,,,,,,,,,,,,,,,,,,,,
44214,CN-0136,medium_airport,Wuwei Air Base,37.9883,102.567001,,AS,China,CN,Gansu Province,CN-62,62,Wuwei,0,,,,,,,,,,,,,,,,,,,,,,,,,
